file,library,model,trial,ablation,valid,time_seconds,errors,warnings,source,cpg_file,has_cpg,has_ground_truth,correct,expected_valid
USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401.json,USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401,gpt-5.4-mini,3,full,False,3.4791316986083984,"[LDL-C exclusion uses `> 190 mg/dL` instead of the CPG-required `>= 190 mg/dL`; the 10-year CVD risk decision logic for `>=10%` recommend statin and `7.5% to <10%` selectively offer statin is not explicitly represented in the provided ELM summary; CPG dyslipidemia includes elevated total cholesterol, but the ELM risk-factor logic only checks LDL >130 mg/dL or HDL <40 mg/dL and does not explicitly include elevated total cholesterol]",,openai,USPSTF_Statin_Use_CPG.md,True,True,False,True
Condition_and_Medication_Count_FHIRv401.json,Condition_and_Medication_Count_FHIRv401,gpt-5.4-mini,3,full,True,2.598353385925293,,,openai,Condition_Medication_Count_CPG.md,True,True,True,True
Chlamydia_Screening_Common_CQL.json,ChlamydiaScreening_CDS_UsingCommon,gpt-5.4-mini,3,full,True,12.984323740005493,,,openai,Chlamydia_Screening_CPG.md,True,True,True,True
Adult-Weight-Screening-and-Follow-Up-OpenEMR.json,Adult-Weight-Screening-and-Follow-Up-OpenEMR,gpt-5.4-mini,3,full,False,2.7846596240997314,"ELM defines `Errors` as `IF NOT ([MeetsInclusionCriteria]) THEN [correct weight-screening error message] ELSE [Unable to generate weight screening recommendation...]`, which does not match the CPG. Per the CPG, when screening is needed (`InPopulation = true`), `Errors` should be null/not present, and when screening is not needed, only the specified patient-does-not-meet-criteria error message should be returned.",,openai,Adult-Weight-Screening-and-Follow-Up-OpenEMR_CPG.md,True,True,False,True
Breast-Cancer-Screening-OpenEMR.json,Breast-Cancer-Screening-OpenEMR,gpt-5.4-mini,3,full,True,1.0180749893188477,,,openai,Breast-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Colon-Cancer-Screening-OpenEMR.json,Colon-Cancer-Screening-OpenEMR,gpt-5.4-mini,3,full,True,0.9096212387084961,,,openai,Colon-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Prostate-Cancer-Screening-OpenEMR.json,Prostate-Cancer-Screening-OpenEMR,gpt-5.4-mini,3,full,True,1.05912446975708,,,openai,Prostate-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Depression_screening.json,DepressionScreening_CDS,gpt-5.4-mini,3,full,False,2.1643474102020264,"Missing qualifying encounter criterion. The CPG requires a qualifying encounter during the measurement period using the ""Encounter to Screen for Depression"" value set (2.16.840.1.113883.3.600.1916), but the ELM implementation does not include any encounter-based inclusion logic.",,openai,Depression_screening_CPG.md,True,True,False,True
Osteoporosis screening.json,Osteoporosis_Screening_CDS,gpt-5.4-mini,3,full,False,3.7700586318969727,"[Is Female is implemented as `[Patient].gender.value = female` instead of using the required ""Female Administrative Sex"" value set (`2.16.840.1.113883.3.560.100.2`), and `Has Recent DEXA Scan` checks only `issued` within 2 years but does not require that a DEXA result be present as specified in the CPG]",,openai,Osteoporosis-Screening_CPG.md,True,True,False,True
Hypertension-Screening.json,Hypertension-Screening,gpt-5.4-mini,3,full,False,1.3500351905822754,"Age threshold mismatch: CPG requires age >= 18 years, but ELM uses age >= 25 years. Time interval mismatch: CPG requires a 12-month lookback for prior blood pressure screening encounters, but ELM uses 6 months. Screening logic mismatch: CPG says no screening is needed if an encounter exists within the past 1 year, but ELM implements NOT EXISTS within 6 months.",,openai,Hypertension-Screening_CPG.md,True,True,True,False
Statin-Therapy-for-CVD-Prevention.json,Statin-Therapy-for-CVD-Prevention,gpt-5.4-mini,3,full,False,1.0175185203552246,"[Age upper bound mismatch: ELM uses age <= 80 years, but CPG requires age <= 85 years]",,openai,Statin-Therapy-for-CVD-Prevention_CPG.md,True,True,True,False
Type-2-Diabetes-Diagnosis.json,Type-2-Diabetes-Diagnosis,gpt-5.4-mini,3,full,False,0.9468004703521729,"[HbA1c threshold mismatch: CPG requires most recent HbA1c >= 6.5%, but ELM implementation uses >= 9 g%.]",,openai,Type-2-Diabetes-Diagnosis_CPG.md,True,True,True,False
Cervical-Cancer-Screening.json,Cervical_Cancer_Screening_CDS,gpt-5.4-mini,3,full,False,2.0507028102874756,"ELM implementation is missing the CPG requirement that the Pap Test must have a **result present** to count as a prior screening. The CPG says no screening is needed only if a Pap Test was performed within the past 3 years **with a result present**, but the ELM logic only checks for an Observation issued within the last 3 years.",,openai,Cervical-Cancer-Screening_CPG.md,True,True,False,True
Lung-Cancer-Screening.json,Lung_Cancer_Screening_CDS,gpt-5.4-mini,3,full,False,1.8348643779754639,"ELM smoking-history logic does not match CPG: it checks for a Condition with clinicalStatus = active, but the CPG requires an active smoker or former smoker from the Tobacco User value set with at least 20 pack-years and quit within the past 15 years. The ELM omits both the 20 pack-year requirement and the quit-within-15-years requirement, and it does not explicitly capture former smoker status.",,openai,Lung-Cancer-Screening_CPG.md,True,True,False,True
AAA-Screening.json,AAA_Screening_CDS,gpt-5.4-mini,3,full,True,1.840205430984497,,,openai,AAA-Screening_CPG.md,True,True,True,True
Alcohol-Misuse-Screening.json,Alcohol_Misuse_Screening_CDS,gpt-5.4-mini,3,full,True,1.284393548965454,,,openai,Alcohol-Misuse-Screening_CPG.md,True,True,True,True
Falls-Prevention-Screening.json,Falls_Prevention_Screening_CDS,gpt-5.4-mini,3,full,True,0.9148917198181152,,,openai,Falls-Prevention-Screening_CPG.md,True,True,True,True
