file,library,model,trial,ablation,valid,time_seconds,errors,warnings,source,cpg_file,has_cpg,has_ground_truth,correct,expected_valid
USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401.json,USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401,gpt-5.4-mini,4,no_simplify,False,4.825450420379639,"[HasCVDRiskFactors does not fully match the CPG dyslipidemia definition because it only checks LDL >130 mg/dL or HDL <40 mg/dL and does not include elevated total cholesterol. The 10-year CVD risk threshold logic for recommendation is not shown in the implementation excerpt, so the required ≥10% decision rule (and 7.5% to <10% selective-offer rule) cannot be verified as implemented. The exclusion logic includes extra exclusions not listed in the CPG (end-stage renal disease, dialysis, cirrhosis, rhabdomyolysis), which may be acceptable clinically but are not part of the stated USPSTF exclusion set.]",,openai,USPSTF_Statin_Use_CPG.md,True,True,False,True
Condition_and_Medication_Count_FHIRv401.json,Condition_and_Medication_Count_FHIRv401,gpt-5.4-mini,4,no_simplify,True,0.9412825107574463,,,openai,Condition_Medication_Count_CPG.md,True,True,True,True
Chlamydia_Screening_Common_CQL.json,ChlamydiaScreening_CDS_UsingCommon,gpt-5.4-mini,4,no_simplify,True,2.959397077560425,,,openai,Chlamydia_Screening_CPG.md,True,True,True,True
Adult-Weight-Screening-and-Follow-Up-OpenEMR.json,Adult-Weight-Screening-and-Follow-Up-OpenEMR,gpt-5.4-mini,4,no_simplify,False,3.2019381523132324,"The ELM does not match the CPG recommendation output for the false/not-in-population case. The guideline requires the error text: ""Patient does not meet criteria for weight screening reminder. Either patient is under 18 years old or weight has been measured within the last month."" However, the ELM returns a different fallback message in Errors[""Unable to generate weight screening recommendation. Please verify patient data is complete or contact support.""].",,openai,Adult-Weight-Screening-and-Follow-Up-OpenEMR_CPG.md,True,True,False,True
Breast-Cancer-Screening-OpenEMR.json,Breast-Cancer-Screening-OpenEMR,gpt-5.4-mini,4,no_simplify,True,2.1912612915039062,,,openai,Breast-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Colon-Cancer-Screening-OpenEMR.json,Colon-Cancer-Screening-OpenEMR,gpt-5.4-mini,4,no_simplify,False,4.525307893753052,"The ELM appears to implement the screening logic correctly overall, but there is a potential value/path mismatch in the age calculation: it uses `Patient.birthDate.value` rather than the FHIR `birthDate` date directly. This may affect exact age evaluation in implementation.",,openai,Colon-Cancer-Screening-OpenEMR_CPG.md,True,True,False,True
Prostate-Cancer-Screening-OpenEMR.json,Prostate-Cancer-Screening-OpenEMR,gpt-5.4-mini,4,no_simplify,True,3.026346206665039,,,openai,Prostate-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Depression_screening.json,DepressionScreening_CDS,gpt-5.4-mini,4,no_simplify,False,3.1741907596588135,"[Missing required qualifying encounter during the measurement period from value set `2.16.840.1.113883.3.600.1916` in the inclusion logic; the ELM only checks age, diagnoses, and recent screening. The CPG requires the encounter criterion as part of target population eligibility.]",,openai,Depression_screening_CPG.md,True,True,False,True
Osteoporosis screening.json,Osteoporosis_Screening_CDS,gpt-5.4-mini,4,no_simplify,False,4.077943801879883,"[DEXA recency logic does not exactly match the CPG: the CPG requires a DEXA scan performed within the past 2 years **with a result present**, but the ELM checks `Observation.issued` within the last 2 years and does **not** verify that a result is present. The ELM also uses `issued` rather than the scan/performed date, which is not an exact match.]",,openai,Osteoporosis-Screening_CPG.md,True,True,False,True
Hypertension-Screening.json,Hypertension-Screening,gpt-5.4-mini,4,no_simplify,False,1.7050979137420654,"[Minimum age mismatch: ELM uses age >= 25, but CPG requires age >= 18; Screening lookback mismatch: ELM uses no blood pressure screening encounter within past 6 months, but CPG requires no encounter within past 1 year (12 months)]",,openai,Hypertension-Screening_CPG.md,True,True,True,False
Statin-Therapy-for-CVD-Prevention.json,Statin-Therapy-for-CVD-Prevention,gpt-5.4-mini,4,no_simplify,False,1.3218533992767334,"[Age range upper bound mismatch: CPG requires age <= 85 years, but ELM uses age <= 80 years in ""Age range"".]",,openai,Statin-Therapy-for-CVD-Prevention_CPG.md,True,True,True,False
Type-2-Diabetes-Diagnosis.json,Type-2-Diabetes-Diagnosis,gpt-5.4-mini,4,no_simplify,False,1.4335870742797852,"[HbA1c threshold mismatch: CPG requires most recent HbA1c result >= 6.5%, but ELM compares against Quantity 9 g% instead of 6.5%.]",,openai,Type-2-Diabetes-Diagnosis_CPG.md,True,True,True,False
Cervical-Cancer-Screening.json,Cervical_Cancer_Screening_CDS,gpt-5.4-mini,4,no_simplify,False,2.428353786468506,"[""Has Recent Pap Smear"" does not require a Pap Test result to be present, but the CPG says screening is excluded only if a Pap Test was performed within the past 3 years with a result present."", ""\""Rationale\"" text does not fully match the CPG-required rationale wording: it omits the high-risk HPV (hrHPV) 5-year screening option for women aged 30-65 years.""]",,openai,Cervical-Cancer-Screening_CPG.md,True,True,False,True
Lung-Cancer-Screening.json,Lung_Cancer_Screening_CDS,gpt-5.4-mini,4,no_simplify,False,3.146500825881958,"[Smoking-history logic does not match CPG: ELM only checks for a Tobacco User Condition with clinicalStatus = ""active""; it does not include former smokers, does not verify >= 20 pack-years, and does not verify quit within the past 15 years. Recent LDCT logic does not match CPG: ELM searches Observation records by issued date within the past 1 year, while the guideline requires a low-dose CT chest study/performed event from the Low Dose CT Chest value set within the past 1 year. Recommendation rationale text also does not exactly match the required rationale: it omits “currently smoke or have quit within the past 15 years” and “Grade B recommendation.”]",,openai,Lung-Cancer-Screening_CPG.md,True,True,False,True
AAA-Screening.json,AAA_Screening_CDS,gpt-5.4-mini,4,no_simplify,False,2.8154611587524414,"[Smoking history is not implemented correctly: the ELM retrieves `Condition` resources coded with the Tobacco User value set and filters for `clinicalStatus` active/resolved, which does not exactly match the CPG requirement of “ever smoked (100+ cigarettes in lifetime)” from the Tobacco User value set. Prior AAA screening logic is also not exact: the ELM checks for `Observation` resources with the AAA Screening Ultrasound value set and requires `value` to be non-null, which is a narrower condition than “a prior abdominal aortic aneurysm ultrasound screening has ever been performed.” The rationale text also omits the exact Grade B wording required by the CPG.]",,openai,AAA-Screening_CPG.md,True,True,False,True
Alcohol-Misuse-Screening.json,Alcohol_Misuse_Screening_CDS,gpt-5.4-mini,4,no_simplify,False,3.64383602142334,[,,openai,Alcohol-Misuse-Screening_CPG.md,True,True,False,True
Falls-Prevention-Screening.json,Falls_Prevention_Screening_CDS,gpt-5.4-mini,4,no_simplify,True,1.8500635623931885,,,openai,Falls-Prevention-Screening_CPG.md,True,True,True,True
