summary_id,accuracy,completeness,organization,conciseness,clinical_utility,overall_quality,comments
S321,2,4,5,4,3,3,"Structured but contains EHR inaccuracies and unstated management details, reducing trustworthiness"
S322,3,4,5,4,4,4,Clinically useful but includes fabricated exam findings and rapid antigen test error
S323,2,4,5,4,3,3,Structured but merges mismatched elderly EHR and adds unsupported details
S324,2,3,4,4,3,3,Captures main problem but contains factual errors and omits relevant reaction/symptom details
S325,2,3,4,4,3,3,Captures main complaint but contains factual errors and omits relevant exposure details
S326,2,4,5,4,4,3,Clinically useful but imports conflicting EHR problems and adds unstated ROS items
S327,2,3,5,4,3,3,Structured but introduces unsupported details and omits/downplays symptom uncertainty
S328,2,3,5,4,3,3,Moderately useful but imports conflicting EHR comorbidities and states unsupported ROS negatives
S329,2,3,5,4,3,3,"Moderately useful but contains demographic mismatch, fabricated strep test, and added conditions"
S330,3,4,5,4,4,4,Organized but introduces unsupported diagnosis/labs and misses sick contact details
S331,2,3,5,4,3,3,Captures main symptoms but contains major inaccuracies and misses key EHR comorbidities
S332,2,3,5,4,3,3,Clinically usable but ignores conflicting EHR data and adds unsupported ROS negatives
S333,3,3,4,4,3,3,Captures presentation but contains age inaccuracies and omits relevant injection/ROS details
S334,2,3,5,4,3,3,Clinically usable as history recap but ignores conflicting female EHR data
S335,2,3,5,3,3,3,Captures complaint but mixes transcript with mismatched EHR data and misses symptom nuance
S336,2,4,5,4,3,3,Clinically readable but includes unsupported EHR details and invented management
S337,3,4,5,4,4,4,Clinically useful overall despite overinterpreting prior records and suggesting bacterial sinusitis prematurely
S338,2,3,5,4,3,3,Usable for hand complaint but includes major 109yo EHR mismatch and unstated plan elements
S339,2,4,5,4,3,3,"Useful overall but contains age error, diabetes EHR mismatch, and speculative plan"
S340,2,4,5,3,3,3,Very organized but introduces unsupported transplant/CABG history reducing trustworthiness
S341,2,3,4,4,3,3,"Captures main complaint but denies marijuana use, omits EHR comorbidities, and assumes normal exam"
S342,1,2,5,4,2,2,Structured but imports incorrect 41yo male EHR and misstates isolation guidance
S343,3,4,5,4,4,4,"Clinically useful but adopts denied PMH, mischaracterizes diarrhea, and alters isolation guidance"
S344,1,3,5,4,2,2,Captures core history but imports conflicting EHR history and invents exam/plan details
S345,2,4,5,4,4,3,Clinically useful but mixes transcript with mismatched EHR data and unstated plan elements
