file,library,model,trial,valid,time_seconds,errors,warnings,source,cpg_file,has_cpg,has_ground_truth,correct,expected_valid
USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401.json,USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401,gpt-5.4-mini,4,False,3.458827495574951,"; The ELM includes multiple time lookback periods not specified in the CPG, including 6 years (LDL/HDL/smoking/CVD risk), 42 weeks (pregnancy), 1 year (breastfeeding), 1 month (ESRD encounter), 1 week (dialysis), and 2 years (statin medication). The CPG does not define these lookback intervals.; The ELM adds exclusion criteria not present in the CPG: end-stage renal disease, recent ESRD encounter, dialysis/dependence on dialysis, cirrhosis, and rhabdomyolysis.; The CPG requires exclusion for contraindications to statin therapy, but the ELM does not implement a general contraindication check; instead it substitutes specific conditions.; The CPG’s dyslipidemia risk factor includes elevated total cholesterol, low HDL, or elevated LDL, but the ELM only uses LDL >130 mg/dL and HDL <40 mg/dL, omitting total cholesterol.",,openai,USPSTF_Statin_Use_CPG.md,True,True,False,True
Condition_and_Medication_Count_FHIRv401.json,Condition_and_Medication_Count_FHIRv401,gpt-5.4-mini,4,True,1.1076908111572266,,,openai,Condition_Medication_Count_CPG.md,True,True,True,True
Chlamydia_Screening_Common_CQL.json,ChlamydiaScreening_CDS_UsingCommon,gpt-5.4-mini,4,False,1.772705078125,"; The recommendation output does not explicitly specify the required code SNOMED 442487003 (""Screening for Chlamydia trachomatis (procedure)""); it only states `{type=[Code], status=proposed}`.; The value set for ""Reason for not performing Chlamydia Screening"" is listed as TBD in the ELM summary, so it cannot be verified against the CPG requirement.",,openai,Chlamydia_Screening_CPG.md,True,True,False,True
Adult-Weight-Screening-and-Follow-Up-OpenEMR.json,Adult-Weight-Screening-and-Follow-Up-OpenEMR,gpt-5.4-mini,4,True,1.4156012535095215,,,openai,Adult-Weight-Screening-and-Follow-Up-OpenEMR_CPG.md,True,True,True,True
Breast-Cancer-Screening-OpenEMR.json,Breast-Cancer-Screening-OpenEMR,gpt-5.4-mini,4,True,1.3865082263946533,,,openai,Breast-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Colon-Cancer-Screening-OpenEMR.json,Colon-Cancer-Screening-OpenEMR,gpt-5.4-mini,4,True,1.0486969947814941,,,openai,Colon-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Prostate-Cancer-Screening-OpenEMR.json,Prostate-Cancer-Screening-OpenEMR,gpt-5.4-mini,4,True,0.8723764419555664,,,openai,Prostate-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Depression_screening.json,DepressionScreening_CDS,gpt-5.4-mini,4,True,1.9684534072875977,,,openai,Depression_screening_CPG.md,True,True,True,True
Osteoporosis screening.json,Osteoporosis_Screening_CDS,gpt-5.4-mini,4,False,2.6155800819396973,"[ELM’s “Has Recent DEXA Scan” logic is incomplete: the CPG requires a DEXA scan within the past 2 years **with a result present**, but the ELM implementation only checks `issued` within the 2-year interval and does not verify that a result is present. ]",,openai,Osteoporosis-Screening_CPG.md,True,True,False,True
Hypertension-Screening.json,Hypertension-Screening,gpt-5.4-mini,4,False,1.7226946353912354,"Age threshold mismatch: CPG requires age >= 18 years, but ELM uses age >= 25 years. Time interval mismatch: CPG requires no blood pressure screening encounter within the past 1 year (12 months), but ELM uses a 6-month lookback.",,openai,Hypertension-Screening_CPG.md,True,True,True,False
Statin-Therapy-for-CVD-Prevention.json,Statin-Therapy-for-CVD-Prevention,gpt-5.4-mini,4,False,1.8939199447631836,"Age upper threshold mismatch: CPG requires age <= 85 years, but ELM implementation uses age <= 80 years.",,openai,Statin-Therapy-for-CVD-Prevention_CPG.md,True,True,True,False
Type-2-Diabetes-Diagnosis.json,Type-2-Diabetes-Diagnosis,gpt-5.4-mini,4,False,1.2712757587432861,"[HbA1c threshold mismatch: CPG requires most recent HbA1c >= 6.5%, but ELM implementation uses >= 9 g%.]",,openai,Type-2-Diabetes-Diagnosis_CPG.md,True,True,True,False
Cervical-Cancer-Screening.json,Cervical_Cancer_Screening_CDS,gpt-5.4-mini,4,False,2.6724276542663574,"[ELM does not fully implement the exclusion criterion “Pap Test performed within the past 3 years with a result present” because it checks only for a recent Pap smear by issued date and does not require a result present. The required screening rationale in the CPG includes both cytology alone and hrHPV/cytology options, but the ELM rationale only mentions cytology alone.]",,openai,Cervical-Cancer-Screening_CPG.md,True,True,False,True
Lung-Cancer-Screening.json,Lung_Cancer_Screening_CDS,gpt-5.4-mini,4,False,1.8431801795959473,"ELM smoking-history logic does not match the CPG: it checks only Condition.clinicalStatus = active for the Tobacco User value set, but the CPG requires active smoker OR former smoker with at least 20 pack-years who quit within the past 15 years. The ELM implementation is missing the pack-year and quit-within-15-years requirements, and it does not explicitly include former smokers.",,openai,Lung-Cancer-Screening_CPG.md,True,True,False,True
AAA-Screening.json,AAA_Screening_CDS,gpt-5.4-mini,4,False,2.6759445667266846,"[Smoking history logic does not exactly match the CPG: the guideline requires ever smoked (100+ cigarettes in lifetime) from the ""Tobacco User"" value set `2.16.840.1.113883.3.526.3.1170`, but the ELM implementation retrieves `Condition` records with clinicalStatus active/resolved instead of using the tobacco-use smoking history representation specified by the CPG. The age criteria (65 to 75 years) and prior AAA ultrasound exclusion logic otherwise match.]",,openai,AAA-Screening_CPG.md,True,True,False,True
Alcohol-Misuse-Screening.json,Alcohol_Misuse_Screening_CDS,gpt-5.4-mini,4,False,3.833017349243164,"The ELM logic matches the age threshold (>= 18 years), the 1-year lookback, and the overall AND/NOT structure for “needs screening.” However, the implementation does not fully match the CPG output requirements because the required rationale text is incomplete: it omits “including pregnant women” and “provide persons engaged in risky or hazardous drinking with brief behavioral counseling interventions. Grade B recommendation.” Also, the required source is not represented in the ELM summary.",,openai,Alcohol-Misuse-Screening_CPG.md,True,True,False,True
Falls-Prevention-Screening.json,Falls_Prevention_Screening_CDS,gpt-5.4-mini,4,True,1.253770112991333,,,openai,Falls-Prevention-Screening_CPG.md,True,True,True,True
Tobacco-Use-Screening.json,Tobacco_Use_Screening_CDS,gpt-5.4-mini,4,False,1.7916786670684814,"[Rationale text does not match the CPG requirement: CPG specifies “USPSTF recommends that clinicians ask all adults about tobacco use, advise them to stop using tobacco, and provide behavioral interventions and U.S. Food and Drug Administration (FDA)-approved pharmacotherapy for cessation. Grade A recommendation.” but the ELM rationale omits the FDA-approved pharmacotherapy and Grade A wording. Source output is also not implemented as specified.]",,openai,Tobacco-Use-Screening_CPG.md,True,True,False,True
Colorectal-Cancer-Average-Risk-Screening.json,Colorectal_Cancer_AverageRisk_Screening_CDS,gpt-5.4-mini,4,False,1.3317296504974365,"Age threshold mismatch: CPG requires age 45 to 75 years, but ELM uses age 60 to 75 years. Time interval mismatch: CPG requires no colorectal cancer screening performed within the past 1 year, but ELM uses a 2-year lookback.",,openai,Colorectal-Cancer-Average-Risk-Screening_CPG.md,True,True,True,False
Anxiety-Screening.json,Anxiety_Screening_CDS,gpt-5.4-mini,4,False,1.2260055541992188,"ELM uses a 6-month lookback for recent anxiety screening, but the CPG requires 1 year exactly. ELM also sets Rationale to null when screening is needed, but the CPG requires a non-null rationale message when InPopulation = true.",,openai,Anxiety-Screening_CPG.md,True,True,True,False
HIV-Screening.json,HIV_Screening_CDS,gpt-5.4-mini,4,False,1.2313575744628906,"Age threshold mismatch: CPG requires inclusion for ages 15 to 65 years, but ELM uses age >= 30 years. The ELM implementation therefore excludes patients aged 15-29 who should be included and does not enforce the upper age limit of 65 years.",,openai,HIV-Screening_CPG.md,True,True,True,False
Prediabetes-Obesity-Screening.json,Prediabetes_Obesity_Screening_CDS,gpt-5.4-mini,4,False,1.6313598155975342,"BMI threshold mismatch: ELM uses BMI >= 35 kg/m2 in ""Is Obese"" but CPG requires BMI >= 25 kg/m2. Lookback period mismatch: ELM uses recent glucose test within 1 year in ""Has Recent Glucose Test"" but CPG requires no blood glucose or HbA1c test within the past 3 years.",,openai,Prediabetes-Obesity-Screening_CPG.md,True,True,True,False
Cervical-Cancer-Screening-WrongAge.json,Cervical_Cancer_Screening_CDS,gpt-5.4-mini,4,False,1.6246907711029053,"Age threshold mismatch: CPG requires age 21 to 65 years, but ELM uses age >= 30 and <= 65. Logic mismatch: CPG says no screening is needed only if a Pap Test with a result present was performed within the past 3 years, but ELM checks only for a Pap Smear issued within the past 3 years and does not require a result present.",,openai,Cervical-Cancer-Screening_CPG.md,True,True,True,False
Depression-Screening-WrongLookback.json,DepressionScreening_CDS,gpt-5.4-mini,4,False,1.443948745727539,"[Time interval mismatch: CPG requires no depression screening within the past 1 year, but ELM uses a 3-month lookback for both adult and adolescent screening. Missing required encounter criterion: CPG requires a qualifying encounter during the measurement period from the ""Encounter to Screen for Depression"" value set, but the ELM logic does not include any encounter-based inclusion check.]",,openai,Depression_screening_CPG.md,True,True,True,False
Falls-Prevention-WrongAge.json,Falls_Prevention_Screening_CDS,gpt-5.4-mini,4,False,1.1870298385620117,"Age threshold mismatch: CPG requires age >= 65 years, but ELM uses age >= 75 years in ""In Demographic"".",,openai,Falls-Prevention-Screening_CPG.md,True,True,True,False
Alcohol-Misuse-WrongAge.json,Alcohol_Misuse_Screening_CDS,gpt-5.4-mini,4,False,0.7966091632843018,"Age threshold mismatch: CPG requires age >= 18 years, but ELM uses age >= 25 years in ""In Demographic"".",,openai,Alcohol-Misuse-Screening_CPG.md,True,True,True,False
Osteoporosis-WrongLookback.json,Osteoporosis_Screening_CDS,gpt-5.4-mini,4,False,2.254347562789917,"; **Time interval mismatch for DEXA lookback**: CPG requires **no DEXA scan within the past 2 years**, but the ELM implementation uses a **6-month** lookback period for “Has Recent DEXA Scan.”",,openai,Osteoporosis-Screening_CPG.md,True,True,True,False
