name,ground_truth,transcript,wer,mer,wil,insertions,deletions,substitutions,hits
1249120_44246595_101823153.wav,I feel pain in my right shoulder after the tennis match.,I feel pain in my right shoulder after the tennis match.,0.0,0.0,0.0,0,0,0,11
1249120_44246595_105657955.wav,I have a feeling like my whole body is complaining,I have a feeling like my whole body is complaining.,0.0,0.0,0.0,0,0,0,10
1249120_44246595_107248522.wav,I noticed an important decrease in my vision when I try to look at things up close.,I notice an important decrease in my vision when I try to look at things up close.,0.058823529411764705,0.058823529411764705,0.11418685121107264,0,0,1,16
1249120_44246595_108705425.wav,I have a foot ache although I don't walk a lot.,"I have a footache, although I don't walk a lot.",0.18181818181818182,0.18181818181818182,0.26363636363636356,0,1,1,9
1249120_44246595_76562955.wav,"When I go to stand, my head starts swirling",When I go to stand my head starts swirling.,0.0,0.0,0.0,0,0,0,9
1249120_44246595_77258445.wav,I was playing soccer and I twisted my ankle,I was playing soccer and I twisted my ankle.,0.0,0.0,0.0,0,0,0,9
1249120_44246595_85567147.wav,When i get up i see my skin vague,"When I get up, I see my skin vague.",0.0,0.0,0.0,0,0,0,9
1249120_44246595_86895734.wav,Surgical wound infections,Surgical wound infections.,0.0,0.0,0.0,0,0,0,3
1249120_44246595_89098147.wav,I don't know why I'm constantly sad.,I don't know why I'm constantly sad.,0.0,0.0,0.0,0,0,0,7
1249120_44246595_89466082.wav,I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.,I often get a stomachache after I eat. I haven't been able to pinpoint which foods may be the trigger.,0.14285714285714285,0.14285714285714285,0.22857142857142865,0,1,2,18
1249120_44246595_89680770.wav,I don't have the energy to do the things that I used to,I don't have the energy to do the things that I used to.,0.0,0.0,0.0,0,0,0,13
1249120_44246595_92310242.wav,I wake up at night feeling cold,I wake up at night feeling cold.,0.0,0.0,0.0,0,0,0,7
1249120_44246595_92462780.wav,He was discovered to have an open wound.,He was discovered to have an open wound.,0.0,0.0,0.0,0,0,0,8
1249120_44246595_94621639.wav,I feel pain inside I do not know what it is,I feel pain inside. I do not know what it is.,0.0,0.0,0.0,0,0,0,11
1249120_44246595_95208403.wav,I can't stand with this horrible feeling in my stomach,I can't stand with this horrible feeling in my stomach.,0.0,0.0,0.0,0,0,0,10
1249120_44246595_95437414.wav,I feel shoulder pain at intervals of time.,I feel shoulder pain at intervals of time.,0.0,0.0,0.0,0,0,0,8
1249120_44246595_95549576.wav,i have issue with my skin,I have issue with my skin.,0.0,0.0,0.0,0,0,0,6
1249120_44246595_99457284.wav,When i eat i feel my stomach hurts,"When I eat, I feel my stomach hurts.",0.0,0.0,0.0,0,0,0,8
1249120_44259428_100443017.wav,there pain in my foot,They're paying in my phone.,0.6,0.6,0.84,0,0,3,2
1249120_44259428_100658896.wav,I have a dull ache in my head,I have a dilemma in my head.,0.25,0.25,0.3571428571428572,0,1,1,6
1249120_44259428_102515958.wav,When I was young I had an injury from sports in my knee.,"When I was young, I had an injury from a spore in my knee.",0.15384615384615385,0.14285714285714285,0.20879120879120883,1,0,1,12
1249120_44259428_103086666.wav,I can't carry anything I have a pain in my shoulder,I can carry anything. I have a pain in my shoulder.,0.09090909090909091,0.09090909090909091,0.17355371900826455,0,0,1,10
1249120_44259428_105662498.wav,"i was playing basketball yesterday, i have sprained ankle",I was playing basketball yesterday. I had a brake ankle.,0.3333333333333333,0.3,0.4555555555555556,1,0,2,7
1249120_44259428_105786249.wav,I feel a burning sensation in my shoulder muscle.,I feel a burning sensation in my shoulder muscle.,0.0,0.0,0.0,0,0,0,9
1249120_44259428_106881229.wav,I walk every day but now I get short of breath after going only a short way.,"I go every way, but now I get short of place after going only a short way.",0.17647058823529413,0.17647058823529413,0.32179930795847755,0,0,3,14
1249120_44259428_107372342.wav,i feel head ache,I feel headache.,0.5,0.5,0.6666666666666667,0,1,1,2
1249120_44259428_107932197.wav,i can't rotate my neck,I cannot add my net.,0.6,0.6,0.84,0,0,3,2
1249120_44259428_108477882.wav,My knees hurt so bad to walk that I stay sitting more than I should.,"When it first got to work, the guest says it is more than I should.",0.7333333333333333,0.7333333333333333,0.9288888888888889,0,0,11,4
1249120_44259428_108575544.wav,My neck feels stiff,My neck will stay.,0.5,0.5,0.75,0,0,2,2
1249120_44259428_108958575.wav,I m feeling cold though the temperature is high,I'm feeling cold. So the number 3 is high.,0.5555555555555556,0.5,0.691358024691358,1,1,3,5
1249120_44259428_16757387.wav,I feel discomfort throughout the body in general,I film this coffee drug out to buy in general.,0.875,0.7,0.8875,2,0,5,3
1249120_44259428_17428469.wav,I feel pain in my knee when I climb the stairs.,I fell by my neck when I climbed her stead.,0.6363636363636364,0.6363636363636364,0.8545454545454545,0,1,6,4
1249120_44259428_17570271.wav,I travelled by plane a few days ago and this time during landing my ears remained clogged and painful.,"I traveled by plane a few days ago, and this time during landing my hair remained close and painful.",0.15789473684210525,0.15789473684210525,0.29085872576177296,0,0,3,16
1249120_44259428_19250068.wav,I'm not feeling good I can't take my breath,I'm not feeling good. I can take my breath.,0.1111111111111111,0.1111111111111111,0.2098765432098766,0,0,1,8
1249120_44259428_19293556.wav,My biceps started aching after I went to the gym,My message started ashing after I went to the ying.,0.3,0.3,0.51,0,0,3,7
1249120_44259428_20551217.wav,i have difficulty moving my neck,I have this reporting hole in my neck.,0.6666666666666666,0.5,0.6666666666666667,2,0,2,4
1249120_44259428_25649773.wav,i cant breathe,I can breathe.,0.3333333333333333,0.3333333333333333,0.5555555555555556,0,0,1,2
1249120_44259428_26033114.wav,His infected wound was beginning to rot.,His infected lung was beginning to drop.,0.2857142857142857,0.2857142857142857,0.4897959183673469,0,0,2,5
1249120_44259428_28102523.wav,I have an open wound in my arm,I have an open wound in my iron.,0.125,0.125,0.234375,0,0,1,7
1249120_44259428_31222743.wav,My body feels weak and I tried to make it relax but it stills pain me,"My body feels weak and I try to make it similar, but it's still tiny.",0.375,0.375,0.5833333333333334,0,1,5,10
