file,library,model,trial,ablation,valid,time_seconds,errors,warnings,source,cpg_file,has_cpg,has_ground_truth,correct,expected_valid
USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401.json,USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401,qwen3.5-35b-a3b,2,full,False,5.118368864059448,,,openrouter,USPSTF_Statin_Use_CPG.md,True,True,False,True
Condition_and_Medication_Count_FHIRv401.json,Condition_and_Medication_Count_FHIRv401,qwen3.5-35b-a3b,2,full,False,1.530583143234253,"The ELM implementation for the 'Summary' logic is incomplete and does not match the CPG requirements. The CPG specifies a detailed string format: `{PatientFirstName} has {N} confirmed conditions and {M} MedicationRequests.` including the retrieval of the patient's first name from `Patient.name[0].given[0]` and the concatenation of specific text with the calculated counts. The provided ELM summary definition only lists `[Concatenate]` without specifying the source of the patient name, the specific text literals, or the variables to be concatenated, failing to implement the required string construction logic.",,openrouter,Condition_Medication_Count_CPG.md,True,True,False,True
Chlamydia_Screening_Common_CQL.json,ChlamydiaScreening_CDS_UsingCommon,qwen3.5-35b-a3b,2,full,True,0.8506441116333008,,,openrouter,Chlamydia_Screening_CPG.md,True,True,True,True
Adult-Weight-Screening-and-Follow-Up-OpenEMR.json,Adult-Weight-Screening-and-Follow-Up-OpenEMR,qwen3.5-35b-a3b,2,full,False,5.931962728500366,"The ELM implementation contains a logic mismatch in the 'Errors' output definition. The CPG specifies that when screening is not needed (InPopulation = false), the error message should be ""Patient does not meet criteria for weight screening reminder. Either patient is under 18 years old or weight has been measured within the last month."" However, the ELM implementation defines the 'Errors' logic as: `IF NOT ([MeetsInclusionCriteria]) THEN [Patient does not meet criteria...] ELSE [Unable to generate weight screening recommendation...]`. This logic incorrectly assigns the ""Unable to generate..."" message to the case where `MeetsInclusionCriteria` is false (which is the correct case for the CPG's error message), while assigning the correct CPG error message to the case where `MeetsInclusionCriteria` is true (which contradicts the CPG requirement that errors only occur when screening is not needed). Additionally, the CPG states the error should appear when `InPopulation` is false, but the ELM logic structure for the 'Errors' element appears to have the conditional branches reversed or misaligned with the intended output flow described in the CPG ""Recommendation Output"" section. Specifically, the CPG says ""When screening is not needed... Errors: [Message A]"", but the ELM code puts Message A in the `THEN` branch of `NOT(MeetsInclusionCriteria)`, which is logically correct for the condition, but the `ELSE` branch (when criteria are met) returns a different error message (""Unable to generate..."") instead of `null` or no error, which contradicts the CPG's implication that no error should be generated when screening is needed. The CPG implies the error is *only* for the exclusion case, whereas the ELM provides an error for the inclusion case as well.",,openrouter,Adult-Weight-Screening-and-Follow-Up-OpenEMR_CPG.md,True,True,False,True
Breast-Cancer-Screening-OpenEMR.json,Breast-Cancer-Screening-OpenEMR,qwen3.5-35b-a3b,2,full,True,0.9892425537109375,,,openrouter,Breast-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Colon-Cancer-Screening-OpenEMR.json,Colon-Cancer-Screening-OpenEMR,qwen3.5-35b-a3b,2,full,True,0.32654500007629395,,,openrouter,Colon-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Prostate-Cancer-Screening-OpenEMR.json,Prostate-Cancer-Screening-OpenEMR,qwen3.5-35b-a3b,2,full,True,0.6246581077575684,,,openrouter,Prostate-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Depression_screening.json,DepressionScreening_CDS,qwen3.5-35b-a3b,2,full,True,0.892392635345459,,,openrouter,Depression_screening_CPG.md,True,True,True,True
Osteoporosis screening.json,Osteoporosis_Screening_CDS,qwen3.5-35b-a3b,2,full,True,0.46891355514526367,,,openrouter,Osteoporosis-Screening_CPG.md,True,True,True,True
Hypertension-Screening.json,Hypertension-Screening,qwen3.5-35b-a3b,2,full,False,1.2922179698944092,,,openrouter,Hypertension-Screening_CPG.md,True,True,True,False
Statin-Therapy-for-CVD-Prevention.json,Statin-Therapy-for-CVD-Prevention,qwen3.5-35b-a3b,2,full,False,1.3875219821929932,"The ELM implementation specifies an upper age limit of 80 years (Age <= 80), whereas the Clinical Practice Guideline requires an upper age limit of 85 years (Age <= 85). This discrepancy excludes patients aged 81, 82, 83, 84, and 85 from the target population, violating the inclusion criteria.",,openrouter,Statin-Therapy-for-CVD-Prevention_CPG.md,True,True,True,False
Type-2-Diabetes-Diagnosis.json,Type-2-Diabetes-Diagnosis,qwen3.5-35b-a3b,2,full,False,7.279658079147339,"The ELM implementation contains a critical value mismatch for the HbA1c threshold. The Clinical Practice Guideline requires the HbA1c result to be >= 6.5%, but the ELM implementation incorrectly specifies the threshold as >= 9 g%. Additionally, the unit ""g%"" in the ELM implementation is inconsistent with the standard percentage (%) unit used in the CPG for HbA1c.",,openrouter,Type-2-Diabetes-Diagnosis_CPG.md,True,True,True,False
Cervical-Cancer-Screening.json,Cervical_Cancer_Screening_CDS,qwen3.5-35b-a3b,2,full,True,0.9453446865081787,,,openrouter,Cervical-Cancer-Screening_CPG.md,True,True,True,True
Lung-Cancer-Screening.json,Lung_Cancer_Screening_CDS,qwen3.5-35b-a3b,2,full,False,1.6291489601135254,"The ELM implementation fails to verify the ""20 pack-year"" smoking history requirement specified in the CPG. The CPG explicitly requires a history of ""at least 20 pack-years,"" but the ELM `Has Smoking History` logic only checks for the existence of a condition coded as ""Tobacco User"" without validating the quantitative pack-year threshold. Additionally, the CPG specifies that former smokers must have quit ""within the past 15 years,"" but the ELM logic does not include a check for the date of smoking cessation relative to the current date.",,openrouter,Lung-Cancer-Screening_CPG.md,True,True,False,True
AAA-Screening.json,AAA_Screening_CDS,qwen3.5-35b-a3b,2,full,False,1.3724067211151123,"The ELM implementation for ""Has Smoking History"" incorrectly adds a filter for `clinicalStatus` (active or resolved). The CPG requirement only specifies ""Ever smoked (100+ cigarettes in lifetime)"" and references the ""Tobacco User"" value set, without restricting the status to only active or resolved conditions. Additionally, the ELM implementation for ""Has Prior AAA Screening"" includes a check `WHERE NOT (IsNull(S.value))`, which is not specified in the CPG requirements; the CPG simply requires that a prior screening has ""ever been performed,"" implying the existence of the observation record itself is sufficient, regardless of the specific value content.",,openrouter,AAA-Screening_CPG.md,True,True,False,True
Alcohol-Misuse-Screening.json,Alcohol_Misuse_Screening_CDS,qwen3.5-35b-a3b,2,full,True,0.5864236354827881,,,openrouter,Alcohol-Misuse-Screening_CPG.md,True,True,True,True
Falls-Prevention-Screening.json,Falls_Prevention_Screening_CDS,qwen3.5-35b-a3b,2,full,True,0.369229793548584,,,openrouter,Falls-Prevention-Screening_CPG.md,True,True,True,True
Tobacco-Use-Screening.json,Tobacco_Use_Screening_CDS,qwen3.5-35b-a3b,2,full,True,1.8166444301605225,,,openrouter,Tobacco-Use-Screening_CPG.md,True,True,True,True
Colorectal-Cancer-Average-Risk-Screening.json,Colorectal_Cancer_AverageRisk_Screening_CDS,qwen3.5-35b-a3b,2,full,False,0.8612751960754395,,,openrouter,Colorectal-Cancer-Average-Risk-Screening_CPG.md,True,True,True,False
