file,library,model,trial,ablation,valid,time_seconds,errors,warnings,source,cpg_file,has_cpg,has_ground_truth,correct,expected_valid
USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401.json,USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401,gpt-oss-20b,2,no_cpg,True,3.1301000118255615,,,groq,USPSTF_Statin_Use_CPG.md,True,True,True,True
Condition_and_Medication_Count_FHIRv401.json,Condition_and_Medication_Count_FHIRv401,gpt-oss-20b,2,no_cpg,True,0.18621444702148438,,,groq,Condition_Medication_Count_CPG.md,True,True,True,True
Chlamydia_Screening_Common_CQL.json,ChlamydiaScreening_CDS_UsingCommon,gpt-oss-20b,2,no_cpg,False,0.6153368949890137,Reason for not performing Chlamydia Screening value set is not defined (TBD).,,groq,Chlamydia_Screening_CPG.md,True,True,False,True
Adult-Weight-Screening-and-Follow-Up-OpenEMR.json,Adult-Weight-Screening-and-Follow-Up-OpenEMR,gpt-oss-20b,2,no_cpg,True,0.41100430488586426,,,groq,Adult-Weight-Screening-and-Follow-Up-OpenEMR_CPG.md,True,True,True,True
Breast-Cancer-Screening-OpenEMR.json,Breast-Cancer-Screening-OpenEMR,gpt-oss-20b,2,no_cpg,False,0.5654478073120117,The implementation lacks an upper age limit for breast‑cancer screening (CPG typically recommends screening up to age 74). This omission could lead to inappropriate recommendations for older patients.,,groq,Breast-Cancer-Screening-OpenEMR_CPG.md,True,True,False,True
Colon-Cancer-Screening-OpenEMR.json,Colon-Cancer-Screening-OpenEMR,gpt-oss-20b,2,no_cpg,False,0.40129852294921875,"The lookback period for colonoscopy is set to 1 month, whereas the clinical practice guideline recommends screening colonoscopy every 10 years (or 5 years for high‑risk patients). This mismatch makes the implementation clinically unreasonable.",,groq,Colon-Cancer-Screening-OpenEMR_CPG.md,True,True,False,True
Prostate-Cancer-Screening-OpenEMR.json,Prostate-Cancer-Screening-OpenEMR,gpt-oss-20b,2,no_cpg,False,0.7741036415100098,"; The lookback period for determining prior screening is set to **1 month**, whereas clinical guidelines recommend a **1‑year** interval between prostate cancer screening tests.; The `generic_procedure_valuesets` includes **prostate biopsy**, which is a diagnostic procedure, not a screening test; its inclusion in the lookback logic may incorrectly exclude patients who have had a biopsy but not a PSA or DRE.; The recommendation text states “Perform prostate cancer screening (PSA test, DRE, or biopsy as appropriate)”, implying that a biopsy is an appropriate screening test, which is inconsistent with standard practice.",,groq,Prostate-Cancer-Screening-OpenEMR_CPG.md,True,True,False,True
Depression_screening.json,DepressionScreening_CDS,gpt-oss-20b,2,no_cpg,False,1.1803174018859863,"[""The rationale incorrectly states that USPSTF recommends screening for depression in the general adult population (age 12+). USPSTF recommends screening for adults aged 18‑65 and adolescents aged 12‑18. The logic uses age ≥ 12, which is correct for adolescents, but the rationale mischaracterizes the target population.""]",,groq,Depression_screening_CPG.md,True,True,False,True
Osteoporosis screening.json,Osteoporosis_Screening_CDS,gpt-oss-20b,2,no_cpg,True,1.0718660354614258,,,groq,Osteoporosis-Screening_CPG.md,True,True,True,True
Hypertension-Screening.json,Hypertension-Screening,gpt-oss-20b,2,no_cpg,True,0.4677391052246094,,,groq,Hypertension-Screening_CPG.md,True,True,False,False
