file,library,model,trial,valid,time_seconds,errors,warnings,source,cpg_file,has_cpg,has_ground_truth,correct,expected_valid
USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401.json,USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401,qwen3.5-35b-a3b,4,False,21.187378883361816,"; **Discrepancy**: The CPG defines ""Dyslipidemia"" broadly as ""elevated LDL, low HDL, or elevated total cholesterol"". The ELM implementation only checks LDL > 130 and HDL < 40. It **omits** the check for ""elevated total cholesterol"" which is explicitly listed in the CPG definition of Dyslipidemia.; **Discrepancy**: The CPG does not specify the exact numeric thresholds (130 mg/dL for LDL, 40 mg/dL for HDL) in the ""Risk Factors"" section, but the ELM implementation introduces specific numeric thresholds (130 and 40) that are not explicitly defined in the provided CPG text (though they are common clinical standards, the validation task requires matching the provided text). However, the bigger issue is the missing ""Total Cholesterol"" check.; **Discrepancy**: The CPG uses `>=` (greater than or equal to), while the ELM uses `>` (strictly greater than). A patient with exactly 190 mg/dL would be excluded by the CPG but included by the ELM logic.; *Primary Errors Summary**:; **LDL Exclusion Threshold**: CPG uses `>= 190`, ELM uses `> 190`.; **Dyslipidemia Definition**: ELM omits ""elevated total cholesterol"" check required by CPG.; **Value Sets**: ELM uses `ValueSet ""?""` placeholders instead of the specific Value Sets listed in the requirements.; **Risk Threshold Logic**: The ELM snippet does not explicitly implement the `>= 10%` risk check in the final logic flow shown.; **Time Intervals**: ELM introduces specific lookback periods (42 weeks, 1 year) not present in the CPG text.",,openrouter,USPSTF_Statin_Use_CPG.md,True,True,False,True
Condition_and_Medication_Count_FHIRv401.json,Condition_and_Medication_Count_FHIRv401,qwen3.5-35b-a3b,4,False,2.5883231163024902,"The ELM implementation for the 'Summary' logic is incomplete. The CPG requires a specific string format: `{PatientFirstName} has {N} confirmed conditions and {M} MedicationRequests.` using the first given name from the patient. The provided ELM summary definition only lists `[Concatenate]` without specifying the concatenation of the patient's first name, the calculated condition count, the calculated medication count, or the required literal text strings. Additionally, the ELM implementation for `NumberConfirmedConditions` uses a generic `Concept` literal ""Condition Confirmed"" rather than explicitly referencing the required code system `http://terminology.hl7.org/CodeSystem/condition-ver-status` and code `confirmed`, which is a requirement for strict CPG compliance.",,openrouter,Condition_Medication_Count_CPG.md,True,True,False,True
Chlamydia_Screening_Common_CQL.json,ChlamydiaScreening_CDS_UsingCommon,qwen3.5-35b-a3b,4,True,0.6405749320983887,,,openrouter,Chlamydia_Screening_CPG.md,True,True,True,True
Adult-Weight-Screening-and-Follow-Up-OpenEMR.json,Adult-Weight-Screening-and-Follow-Up-OpenEMR,qwen3.5-35b-a3b,4,True,0.9768705368041992,,,openrouter,Adult-Weight-Screening-and-Follow-Up-OpenEMR_CPG.md,True,True,True,True
Breast-Cancer-Screening-OpenEMR.json,Breast-Cancer-Screening-OpenEMR,qwen3.5-35b-a3b,4,True,0.589622974395752,,,openrouter,Breast-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Colon-Cancer-Screening-OpenEMR.json,Colon-Cancer-Screening-OpenEMR,qwen3.5-35b-a3b,4,True,0.6444699764251709,,,openrouter,Colon-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Prostate-Cancer-Screening-OpenEMR.json,Prostate-Cancer-Screening-OpenEMR,qwen3.5-35b-a3b,4,True,0.2929201126098633,,,openrouter,Prostate-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Depression_screening.json,DepressionScreening_CDS,qwen3.5-35b-a3b,4,True,0.6979730129241943,,,openrouter,Depression_screening_CPG.md,True,True,True,True
Osteoporosis screening.json,Osteoporosis_Screening_CDS,qwen3.5-35b-a3b,4,True,0.3369121551513672,,,openrouter,Osteoporosis-Screening_CPG.md,True,True,True,True
Hypertension-Screening.json,Hypertension-Screening,qwen3.5-35b-a3b,4,False,1.1753363609313965,,,openrouter,Hypertension-Screening_CPG.md,True,True,True,False
