file,library,model,valid,time_seconds,errors,warnings,source,cpg_file,has_cpg,has_ground_truth,correct,expected_valid
USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401.json,USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401,qwen3-32b,True,2.6255836486816406,,,groq,USPSTF_Statin_Use_CPG.md,True,True,True,True
Condition_and_Medication_Count_FHIRv401.json,Condition_and_Medication_Count_FHIRv401,qwen3-32b,True,0.9374794960021973,,,groq,Condition_Medication_Count_CPG.md,True,True,True,True
Chlamydia_Screening_Common_CQL.json,ChlamydiaScreening_CDS_UsingCommon,qwen3-32b,True,3.215331792831421,,,groq,Chlamydia_Screening_CPG.md,True,True,True,True
Adult-Weight-Screening-and-Follow-Up-OpenEMR.json,Adult-Weight-Screening-and-Follow-Up-OpenEMR,qwen3-32b,True,1.0412452220916748,,,groq,Adult-Weight-Screening-and-Follow-Up-OpenEMR_CPG.md,True,True,True,True
Breast-Cancer-Screening-OpenEMR.json,Breast-Cancer-Screening-OpenEMR,qwen3-32b,True,1.1671617031097412,,,groq,Breast-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Colon-Cancer-Screening-OpenEMR.json,Colon-Cancer-Screening-OpenEMR,qwen3-32b,True,1.017463207244873,,,groq,Colon-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Prostate-Cancer-Screening-OpenEMR.json,Prostate-Cancer-Screening-OpenEMR,qwen3-32b,True,0.9620575904846191,,,groq,Prostate-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Depression_screening.json,DepressionScreening_CDS,qwen3-32b,True,1.4520251750946045,,,groq,Depression_screening_CPG.md,True,True,True,True
Osteoporosis screening.json,Osteoporosis_Screening_CDS,qwen3-32b,True,2.0300490856170654,,,groq,Osteoporosis-Screening_CPG.md,True,True,True,True
Hypertension-Screening.json,Hypertension-Screening,qwen3-32b,False,1.1677050590515137,"Age threshold mismatch (ELM: 25, CPG: 18); time interval mismatch (ELM: 6 months, CPG: 12 months)",,groq,Hypertension-Screening_CPG.md,True,True,True,False
Statin-Therapy-for-CVD-Prevention.json,Statin-Therapy-for-CVD-Prevention,qwen3-32b,False,0.9280636310577393,"Age threshold mismatch (ELM: 80, CPG: 85)",,groq,Statin-Therapy-for-CVD-Prevention_CPG.md,True,True,True,False
Type-2-Diabetes-Diagnosis.json,Type-2-Diabetes-Diagnosis,qwen3-32b,False,1.3277556896209717,"HbA1c threshold mismatch (ELM: 9%, CPG: 6.5%)",,groq,Type-2-Diabetes-Diagnosis_CPG.md,True,True,True,False
Cervical-Cancer-Screening.json,Cervical_Cancer_Screening_CDS,qwen3-32b,True,1.1095941066741943,,,groq,Cervical-Cancer-Screening_CPG.md,True,True,True,True
Lung-Cancer-Screening.json,Lung_Cancer_Screening_CDS,qwen3-32b,False,1.5081288814544678,"Smoking history criteria incomplete in ELM. CPG requires 20 pack-year history and quitting within 15 years for former smokers, but ELM only checks for ""Tobacco User"" value set existence without pack-year or quit duration logic.",,groq,Lung-Cancer-Screening_CPG.md,True,True,False,True
AAA-Screening.json,AAA_Screening_CDS,qwen3-32b,True,1.2470691204071045,,,groq,AAA-Screening_CPG.md,True,True,True,True
Alcohol-Misuse-Screening.json,Alcohol_Misuse_Screening_CDS,qwen3-32b,True,1.249157190322876,,,groq,Alcohol-Misuse-Screening_CPG.md,True,True,True,True
Falls-Prevention-Screening.json,Falls_Prevention_Screening_CDS,qwen3-32b,True,0.9046041965484619,,,groq,Falls-Prevention-Screening_CPG.md,True,True,True,True
Tobacco-Use-Screening.json,Tobacco_Use_Screening_CDS,qwen3-32b,True,1.0138084888458252,,,groq,Tobacco-Use-Screening_CPG.md,True,True,True,True
Colorectal-Cancer-Average-Risk-Screening.json,Colorectal_Cancer_AverageRisk_Screening_CDS,qwen3-32b,False,1.1962695121765137,"Age threshold mismatch (ELM: 60, CPG: 45); time interval mismatch (ELM: 2 years, CPG: 1 year)",,groq,Colorectal-Cancer-Average-Risk-Screening_CPG.md,True,True,True,False
Anxiety-Screening.json,Anxiety_Screening_CDS,qwen3-32b,False,1.7168776988983154,"Time interval mismatch (ELM: 6 months, CPG: 1 year)",,groq,Anxiety-Screening_CPG.md,True,True,True,False
HIV-Screening.json,HIV_Screening_CDS,qwen3-32b,False,1.9689013957977295,"Age threshold mismatch (ELM: >=30, CPG: 15-65); missing upper age limit check (ELM does not verify Age <=65); rationale mismatch (ELM: null when InPopulation=true, CPG: ""USPSTF recommends..."" when InPopulation=true)",,groq,HIV-Screening_CPG.md,True,True,True,False
Prediabetes-Obesity-Screening.json,Prediabetes_Obesity_Screening_CDS,qwen3-32b,False,1.6015281677246094,"BMI threshold mismatch (ELM: 35 kg/m², CPG: 25 kg/m²); time interval mismatch (ELM: 1 year, CPG: 3 years)",,groq,Prediabetes-Obesity-Screening_CPG.md,True,True,True,False
Cervical-Cancer-Screening-WrongAge.json,Cervical_Cancer_Screening_CDS,qwen3-32b,False,1.3122901916503906,"Age threshold mismatch (ELM: 30, CPG: 21 for lower bound). The ELM implementation defines ""In Demographic"" as age >= 30 years, but the CPG requires age >= 21 years for inclusion in the target population. This creates an exclusion of women aged 21-29 who are explicitly included in the CPG.",,groq,Cervical-Cancer-Screening_CPG.md,True,True,True,False
Depression-Screening-WrongLookback.json,DepressionScreening_CDS,qwen3-32b,False,1.315192461013794,"Time interval mismatch for recent depression screening (ELM: 3 months, CPG: 1 year)",,groq,Depression_screening_CPG.md,True,True,True,False
Falls-Prevention-WrongAge.json,Falls_Prevention_Screening_CDS,qwen3-32b,False,1.3294627666473389,"Age threshold mismatch (ELM: 75, CPG: 65)",,groq,Falls-Prevention-Screening_CPG.md,True,True,True,False
Alcohol-Misuse-WrongAge.json,Alcohol_Misuse_Screening_CDS,qwen3-32b,False,1.1170551776885986,"Age threshold mismatch (ELM: 25, CPG: 18)",,groq,Alcohol-Misuse-Screening_CPG.md,True,True,True,False
Osteoporosis-WrongLookback.json,Osteoporosis_Screening_CDS,qwen3-32b,False,1.4094822406768799,"Time interval mismatch for DEXA scan lookback period (ELM: 6 months, CPG: 2 years)",,groq,Osteoporosis-Screening_CPG.md,True,True,True,False
AAA-Screening-WrongAge.json,AAA_Screening_CDS,qwen3-32b,False,1.1161749362945557,"Age threshold mismatch (ELM: 55-75 years, CPG: 65-75 years)",,groq,AAA-Screening_CPG.md,True,True,True,False
Breast-Cancer-WrongOperator.json,Breast-Cancer-Screening-OpenEMR,qwen3-32b,False,1.5013370513916016,"Logical operator mismatch in MeetsInclusionCriteria (ELM uses OR between Screening Age and Gender, but CPG requires AND for both criteria to be met).",,groq,Breast-Cancer-Screening-OpenEMR_CPG.md,True,True,True,False
Tobacco-Missing-Exclusion.json,Tobacco_Use_Screening_CDS,qwen3-32b,False,1.645838737487793,"Logical structure mismatch. The ELM's ""Needs Tobacco Use Screening"" only includes the age check (>=18 years) but does not incorporate the exclusion of recent tobacco screening (lookback 1 year). The CPG requires both conditions (age >=18 AND no recent screening) to determine InPopulation. The ELM's ""InPopulation"" is incorrectly defined as [Needs Tobacco Use Screening], which lacks the exclusion of recent screening.",,groq,Tobacco-Use-Screening_CPG.md,True,True,True,False
Lung-Cancer-Missing-SubPopulation.json,Lung_Cancer_Screening_CDS,qwen3-32b,False,1.3597054481506348,"Age threshold mismatch (ELM: Age >= 50, CPG: Age 50-80); Smoking history criteria missing pack-year and 15-year quit requirements in ELM; Upper age limit (80) not enforced in ELM logic.",,groq,Lung-Cancer-Screening_CPG.md,True,True,True,False
IPF-Screening.json,IPF-ScreeningIE,qwen3-32b,True,1.4592573642730713,,,groq,IPF-Screening_CPG.md,True,True,True,True
IPF-Screening-WrongCT.json,IPF-Screening,qwen3-32b,True,1.6826419830322266,,,groq,IPF-Screening_CPG.md,True,True,False,False
AAA-Missing-SexRestriction.json,AAA_Screening_CDS,qwen3-32b,True,1.0972082614898682,,,groq,AAA-Screening_CPG.md,True,True,False,False
Depression-Missing-BipolarExclusion.json,DepressionScreening_CDS,qwen3-32b,False,1.7974894046783447,Missing exclusion of active Bipolar Diagnosis in Needs Depression Screening logic; Missing check for Qualifying Encounter in Inclusion Criteria.,,groq,Depression_screening_CPG.md,True,True,True,False
Colon-Cancer-Inverted-Procedure.json,Colon-Cancer-Screening-OpenEMR,qwen3-32b,False,2.466155767440796,"Logical inversion in Colonoscopy exclusion criteria (ELM checks for presence of colonoscopy in past 1 month, but CPG requires absence of colonoscopy in past 1 month). The ELM uses `COUNT(...) > 0` for Colonoscopy, but should use `COUNT(...) = 0` to match CPG's ""no screening needed if colonoscopy exists within past 1 month"" exclusion.",,groq,Colon-Cancer-Screening-OpenEMR_CPG.md,True,True,True,False
Falls-Inverted-Assessment.json,Falls_Prevention_Screening_CDS,qwen3-32b,False,1.6473917961120605,"Logical structure mismatch (ELM: ""Needs Falls Prevention Screening"" = In Demographic AND Has Recent Falls Assessment; CPG requires In Demographic AND NOT Has Recent Falls Assessment). This inverts the exclusion criteria, leading to incorrect screening eligibility determination.",,groq,Falls-Prevention-Screening_CPG.md,True,True,True,False
Depression-WrongNesting.json,DepressionScreening_CDS,qwen3-32b,False,2.468916654586792,Logical structure mismatch in exclusion criteria (ELM uses NOT (Has Bipolar AND Has Depression) instead of NOT Has Bipolar AND NOT Has Depression); Missing encounter requirement (2.16.840.1.113883.3.600.1916) in inclusion criteria.,,groq,Depression_screening_CPG.md,True,True,True,False
