file,library,model,trial,ablation,valid,time_seconds,errors,warnings,source,cpg_file,has_cpg,has_ground_truth,correct,expected_valid
USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401.json,USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401,qwen3-32b,4,full,False,5.11474347114563,,,groq,USPSTF_Statin_Use_CPG.md,True,True,False,True
Condition_and_Medication_Count_FHIRv401.json,Condition_and_Medication_Count_FHIRv401,qwen3-32b,4,full,True,2.310433864593506,,,groq,Condition_Medication_Count_CPG.md,True,True,True,True
Chlamydia_Screening_Common_CQL.json,ChlamydiaScreening_CDS_UsingCommon,qwen3-32b,4,full,True,2.295039415359497,,,groq,Chlamydia_Screening_CPG.md,True,True,True,True
Adult-Weight-Screening-and-Follow-Up-OpenEMR.json,Adult-Weight-Screening-and-Follow-Up-OpenEMR,qwen3-32b,4,full,True,1.3683643341064453,,,groq,Adult-Weight-Screening-and-Follow-Up-OpenEMR_CPG.md,True,True,True,True
Breast-Cancer-Screening-OpenEMR.json,Breast-Cancer-Screening-OpenEMR,qwen3-32b,4,full,True,1.1230955123901367,,,groq,Breast-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Colon-Cancer-Screening-OpenEMR.json,Colon-Cancer-Screening-OpenEMR,qwen3-32b,4,full,True,1.0624895095825195,,,groq,Colon-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Prostate-Cancer-Screening-OpenEMR.json,Prostate-Cancer-Screening-OpenEMR,qwen3-32b,4,full,True,1.2384657859802246,,,groq,Prostate-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Depression_screening.json,DepressionScreening_CDS,qwen3-32b,4,full,True,1.2662334442138672,,,groq,Depression_screening_CPG.md,True,True,True,True
Osteoporosis screening.json,Osteoporosis_Screening_CDS,qwen3-32b,4,full,True,0.8909792900085449,,,groq,Osteoporosis-Screening_CPG.md,True,True,True,True
Hypertension-Screening.json,Hypertension-Screening,qwen3-32b,4,full,False,1.0356717109680176,[Age threshold mismatch: CPG requires age >= 18 but ELM uses age >= 25. Time interval mismatch: CPG requires 12-month lookback for encounters but ELM uses 6 months.],,groq,Hypertension-Screening_CPG.md,True,True,True,False
Statin-Therapy-for-CVD-Prevention.json,Statin-Therapy-for-CVD-Prevention,qwen3-32b,4,full,False,0.8843612670898438,[Age range upper limit mismatch: CPG specifies 85 years but ELM implementation uses 80 years],,groq,Statin-Therapy-for-CVD-Prevention_CPG.md,True,True,True,False
Type-2-Diabetes-Diagnosis.json,Type-2-Diabetes-Diagnosis,qwen3-32b,4,full,False,1.0130398273468018,[HbA1c threshold value mismatch: CPG specifies 6.5% but ELM implementation uses 9 g% for HbA1c Laboratory Test criteria],,groq,Type-2-Diabetes-Diagnosis_CPG.md,True,True,True,False
Cervical-Cancer-Screening.json,Cervical_Cancer_Screening_CDS,qwen3-32b,4,full,True,0.8571836948394775,,,groq,Cervical-Cancer-Screening_CPG.md,True,True,True,True
Lung-Cancer-Screening.json,Lung_Cancer_Screening_CDS,qwen3-32b,4,full,False,1.529371976852417,"[The ELM implementation does not include the 20 pack-year smoking history requirement or the 15-year quit time frame for former smokers as specified in the CPG. The ""Has Smoking History"" logic only checks for active tobacco use status via the value set, but lacks explicit pack-year and quit time criteria. The CPG requires both pack-years and quit time for former smokers, which are missing in the ELM implementation.]",,groq,Lung-Cancer-Screening_CPG.md,True,True,False,True
AAA-Screening.json,AAA_Screening_CDS,qwen3-32b,4,full,True,1.2344646453857422,,,groq,AAA-Screening_CPG.md,True,True,True,True
Alcohol-Misuse-Screening.json,Alcohol_Misuse_Screening_CDS,qwen3-32b,4,full,True,1.0453267097473145,,,groq,Alcohol-Misuse-Screening_CPG.md,True,True,True,True
Falls-Prevention-Screening.json,Falls_Prevention_Screening_CDS,qwen3-32b,4,full,True,1.0767767429351807,,,groq,Falls-Prevention-Screening_CPG.md,True,True,True,True
Tobacco-Use-Screening.json,Tobacco_Use_Screening_CDS,qwen3-32b,4,full,True,1.0462212562561035,,,groq,Tobacco-Use-Screening_CPG.md,True,True,True,True
Colorectal-Cancer-Average-Risk-Screening.json,Colorectal_Cancer_AverageRisk_Screening_CDS,qwen3-32b,4,full,False,1.1262550354003906,[Age thresholds in ELM implementation are incorrect (60-75 years) compared to CPG requirements (45-75 years). Time interval for recent screening in ELM is 2 years vs 1 year required by CPG.],,groq,Colorectal-Cancer-Average-Risk-Screening_CPG.md,True,True,True,False
Anxiety-Screening.json,Anxiety_Screening_CDS,qwen3-32b,4,full,False,1.5331666469573975,"[1. Time interval for recent anxiety screening is 6 months in ELM, but CPG requires 1 year. 2. Rationale in ELM is always null, but CPG specifies a non-null rationale when InPopulation = true.]",,groq,Anxiety-Screening_CPG.md,True,True,True,False
HIV-Screening.json,HIV_Screening_CDS,qwen3-32b,4,full,False,1.531236171722412,[,,groq,HIV-Screening_CPG.md,True,True,True,False
Prediabetes-Obesity-Screening.json,Prediabetes_Obesity_Screening_CDS,qwen3-32b,4,full,False,1.194554328918457,[BMI threshold in ELM is 35 kg/m2 instead of 25 kg/m2 as per CPG; time interval for recent glucose test in ELM is 1 year instead of 3 years as per CPG],,groq,Prediabetes-Obesity-Screening_CPG.md,True,True,True,False
Cervical-Cancer-Screening-WrongAge.json,Cervical_Cancer_Screening_CDS,qwen3-32b,4,full,False,1.2113537788391113,"[Age thresholds in ELM implementation do not match CPG requirements. CPG specifies age 21-65, but ELM's ""In Demographic"" checks age >=30. The ELM incorrectly excludes women aged 21-29 from the target population.]",,groq,Cervical-Cancer-Screening_CPG.md,True,True,True,False
Depression-Screening-WrongLookback.json,DepressionScreening_CDS,qwen3-32b,4,full,False,1.7024595737457275,"The ELM implementation incorrectly uses a 3-month lookback period for recent depression screening (in ""Has Recent Adult Depression Screening"" and ""Has Recent Adolescent Depression Screening"") instead of the 1-year lookback period specified in the CPG requirements. This mismatch in time intervals (3 months vs. 1 year) directly conflicts with the CPG's exclusion criteria for recent screening. All other value sets, logical operators, and age thresholds are correctly implemented.",,groq,Depression_screening_CPG.md,True,True,True,False
Falls-Prevention-WrongAge.json,Falls_Prevention_Screening_CDS,qwen3-32b,4,full,False,1.2511813640594482,"[Age threshold in ELM implementation is 75 years (In Demographic: age >=75), but CPG requires age >=65 years. This creates a mismatch in inclusion criteria. The time interval (1 year) and value set reference (2.16.840.1.113883.3.464.1003.118.12.1028) are correctly implemented.]",,groq,Falls-Prevention-Screening_CPG.md,True,True,True,False
Alcohol-Misuse-WrongAge.json,Alcohol_Misuse_Screening_CDS,qwen3-32b,4,full,False,1.1520545482635498,"[Age threshold mismatch: CPG requires age >=18 years for inclusion, but ELM implementation uses age >=25 years in ""In Demographic"" logic. This creates a discrepancy in the target population criteria.]",,groq,Alcohol-Misuse-Screening_CPG.md,True,True,True,False
