case,expected_valid,n_correct,n_total,accuracy
Breast-Cancer-WrongOperator,False,0,8,0.0
Tobacco-Missing-Exclusion,False,0,8,0.0
Lung-Cancer-Missing-SubPopulation,False,3,8,0.375
AAA-Screening-WrongAge,False,4,8,0.5
Depression-Screening-WrongLookback,False,4,8,0.5
Cervical-Cancer-Screening-WrongAge,False,4,8,0.5
Alcohol-Misuse-WrongAge,False,4,8,0.5
Anxiety-Screening,False,4,8,0.5
HIV-Screening,False,4,8,0.5
Prediabetes-Obesity-Screening,False,4,8,0.5
Statin-Therapy-for-CVD-Prevention,False,4,8,0.5
Type-2-Diabetes-Diagnosis,False,4,8,0.5
Osteoporosis-WrongLookback,False,4,8,0.5
Falls-Prevention-WrongAge,False,5,8,0.625
Colorectal-Cancer-Average-Risk-Screening,False,5,8,0.625
Hypertension-Screening,False,5,8,0.625
Alcohol-Misuse-Screening,True,7,8,0.875
USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401,True,7,8,0.875
Lung-Cancer-Screening,True,7,8,0.875
Osteoporosis screening,True,7,8,0.875
Chlamydia_Screening_Common_CQL,True,7,8,0.875
Adult-Weight-Screening-and-Follow-Up-OpenEMR,True,8,8,1.0
Breast-Cancer-Screening-OpenEMR,True,8,8,1.0
AAA-Screening,True,8,8,1.0
Depression_screening,True,8,8,1.0
Condition_and_Medication_Count_FHIRv401,True,8,8,1.0
Cervical-Cancer-Screening,True,8,8,1.0
Colon-Cancer-Screening-OpenEMR,True,8,8,1.0
Falls-Prevention-Screening,True,8,8,1.0
Prostate-Cancer-Screening-OpenEMR,True,8,8,1.0
Tobacco-Use-Screening,True,8,8,1.0
