summary_id,accuracy,completeness,organization,conciseness,clinical_utility,overall_quality,comments
S001,2,3,5,3,3,3,"Mismatched patient profiles, fabricated plan, omits EHR data."
S002,4,4,5,4,4,4,"Accurate symptoms, misses prior appendectomy, unmentioned plan additions."
S003,3,3,4,3,3,3,"Gender mismatch, omits complex EHR history, inaccurate social history."
S004,2,3,4,2,2,2,"Dangerous EHR comorbidity inclusion for adolescent, fabricated physical exam."
S005,3,4,5,3,4,3,"Wrong medications, unconfirmed HF, wrong AST/ALT, added IV antibiotics."
S006,2,3,4,4,3,3,Well-organized but adds unsupported clinical details.
S007,3,3,2,1,2,1,"Gender/EHR factual errors, omits key pain specifics and NSAIDs."
S008,4,4,5,3,4,4,"HPI contradictions, repetitive verbose PMH, lacks Assessment/Plan."
S009,2,2,4,3,2,2,"Accurate transcript capture, verbose ROS, correctly ignores mismatched EHR."
S010,3,4,5,3,4,3,"Factual errors on symptoms/meds, omits anosmia and complex EHR."
S011,4,5,5,3,4,4,"Gender/surgery errors, expired meds listed as current, verbose ROS."
S012,1,3,5,3,1,1,"Comprehensive timeline, verbose redundant sections, mischaracterizes smell reduction."
S013,3,4,5,3,4,4,"Dangerous mismatched EHR inclusion for healthy patient, incorrect smoking status."
S014,3,4,5,3,4,4,"Omits complex PMH, wrong current meds, adds unmentioned plan, mislabels BMI."
S015,3,4,5,3,4,4,"Inconsistently incorporates denied EHR data, verbose with unmentioned plan items."
S016,3,4,5,3,4,4,"Age miscalculation, incorrect active meds, verbose unmentioned PMH."
S017,4,5,5,3,5,4,"Gender consistency but transcript mismatch, incorrect fatigue report, fabricated exam."
S018,3,3,3,3,3,3,"Highly accurate, verbose unmentioned additions, correctly ignores mismatched EHR."
S019,4,4,5,4,4,4,"Symptom/cannabis errors, unspecific statin, fragmented, includes irrelevant EHR."
S020,4,4,5,3,4,4,"Minor radiation error, omits key clinical details and EHR conditions."
S021,3,4,5,3,4,4,"Accurate transcript use, ignores mismatched EHR, verbose ROS, minor symptom errors."
S022,3,3,4,3,3,3,"Relationship/gender ambiguity, incorporates unmentioned EHR data, verbose ROS."
S023,3,4,5,3,4,4,"Contradicts neck swelling, mismatched EHR demographics, redundant generic plan."
S024,3,4,5,3,4,3,"HPI contradictions, denies palpitations, ignores mismatched EHR, verbose generic discharge."
S025,4,5,5,3,4,4,"Implausible age, understates meth use, overly elaborate unmentioned plan."
S026,3,3,4,4,3,3,"Highly organized, accurately captures transcript, mislabeled telephonic, verbose elaborated plan."
S027,3,5,5,3,4,4,"Contradicts marijuana denial, unmentioned EHR PMH, misses COVID symptoms, speculative exam."
